URL	Type 	Status	Redirect
25-off	discount	redirect	holiday
25plus	discount	redirect	holiday
beyond	xmas	live	NA
bf-bogo	blackfriday	redirect	holiday
blackfriday	blackfriday	redirect	holiday
bogo	twoforone	redirect	holiday
bogoplus	twoforone	redirect	holiday
bundle	bundle	redirect	holiday
cm-bogo	cybermonday	redirect	holiday
cybermonday	cybermonday	redirect	holiday
fabfitfun	discount	redirect	holiday
gift-flow	gift	live	NA
gift-message	gift	live	NA
gift	gift	live	NA
holiday	twoforone	live	NA
index	home	redirect	holiday
ketogenicplus	partnership	redirect	holiday
ketoguide	guide	redirect	holiday
kkguide	guide	redirect	holiday
lowcarbyum	partnership	redirect	holiday
memorialday	discount	redirect	holiday
merry-bogo	twoforone	live	NA
msa-bogo	twoforone	redirect	holiday
newyear-bogo	twoforone	redirect	holiday
newyear	twoforone	redirect	holiday
prepaid	prepaid	redirect	holiday
snackfun	discount	redirect	holiday
spookybogo	discount	redirect	holiday
spookybogorecharge	discount	redirect	holiday
stay-25	discount	redirect	holiday
subscribe-bogo	discount	redirect	holiday
summer	discount	redirect	holiday
holidays discount live NA
